,Player,Weekly Salary,Annual Salary,Team,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Played,Won,Drawn,Lost,Goals For,Goals Against,Goal Difference,Points,Performance Score,Goals_per_1k,xG_per_1k,Assists_per_1k,G+A_per_1k
0,Cristiano Ronaldo,515000,28599424,Manchester United,pt POR,FW,36.0,30.0,27.0,2456.0,27.3,18.0,3.0,15.0,3.0,3.0,8.0,0.0,0.66,0.11,0.77,0.55,0.66,16.5,14.2,3.1,17.3,0.61,0.11,0.72,0.52,0.64,38.0,16.0,10.0,12.0,57.0,57.0,0.0,58.0,107.60000000000001,0.0006293833050623677,0.0005769346963071704,0.00010489721751039462,2.6923619161001284e-05
1,Kevin De Bruyne,400000,22213145,Manchester City,be BEL,MF,30.0,30.0,25.0,2201.0,24.5,15.0,8.0,15.0,0.0,0.0,2.0,0.0,0.61,0.33,0.94,0.61,0.94,6.4,6.4,9.5,15.9,0.26,0.39,0.65,0.26,0.65,38.0,29.0,6.0,3.0,99.0,26.0,73.0,93.0,113.8,0.0006752758332960056,0.00028811768887296237,0.000360147111091203,4.231728555321635e-05
2,Romelu Lukaku,325000,18048180,Chelsea,be BEL,FW,28.0,26.0,16.0,1589.0,17.7,8.0,0.0,7.0,1.0,1.0,1.0,0.0,0.45,0.0,0.45,0.4,0.4,6.8,6.1,3.0,9.0,0.39,0.17,0.55,0.34,0.51,38.0,21.0,11.0,6.0,76.0,33.0,43.0,74.0,49.2,0.0004432579905563885,0.0003767692919729302,0.0,2.4933261968796855e-05
3,Jack Grealish,300000,16659859,Manchester City,eng ENG,FW,25.0,26.0,22.0,1914.0,21.3,3.0,3.0,3.0,0.0,0.0,3.0,0.0,0.14,0.14,0.28,0.14,0.28,4.8,4.8,6.3,11.1,0.22,0.3,0.52,0.22,0.52,38.0,29.0,6.0,3.0,99.0,26.0,73.0,93.0,40.2,0.0001800735528433944,0.00028811768454943104,0.0001800735528433944,1.6806864932050147e-05
4,Raheem Sterling,300000,16659859,Manchester City,eng ENG,FW,26.0,30.0,23.0,2128.0,23.6,13.0,5.0,11.0,2.0,3.0,1.0,0.0,0.55,0.21,0.76,0.47,0.68,14.4,12.0,4.6,16.6,0.61,0.2,0.81,0.51,0.7,38.0,29.0,6.0,3.0,99.0,26.0,73.0,93.0,99.2,0.0007803187289880425,0.0008643530536482932,0.000300122588072324,4.5618633386993254e-05
5,Paul Pogba,290000,16104530,Manchester United,fr FRA,"MF,FW",28.0,20.0,16.0,1349.0,15.0,1.0,9.0,1.0,0.0,0.0,7.0,1.0,0.07,0.6,0.67,0.07,0.67,2.4,2.4,3.5,6.0,0.16,0.24,0.4,0.16,0.4,38.0,16.0,10.0,12.0,57.0,57.0,0.0,58.0,32.8,6.20943299804465e-05,0.00014902639195307158,0.0005588489698240184,4.1603201086899154e-05
6,N'Golo Kanté,290000,16104530,Chelsea,fr FRA,MF,30.0,26.0,21.0,1773.0,19.7,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.1,0.2,0.3,0.1,0.3,1.8,1.8,2.3,4.2,0.09,0.12,0.21,0.09,0.21,38.0,21.0,11.0,6.0,76.0,33.0,43.0,74.0,26.200000000000003,0.000124188659960893,0.00011176979396480369,0.000248377319921786,1.8628298994133948e-05
7,Timo Werner,270000,14993873,Chelsea,de GER,"FW,MF",25.0,21.0,15.0,1283.0,14.3,4.0,1.0,4.0,0.0,0.0,1.0,0.0,0.28,0.07,0.35,0.28,0.35,7.6,7.6,0.4,8.0,0.53,0.03,0.56,0.53,0.56,38.0,21.0,11.0,6.0,76.0,33.0,43.0,74.0,34.0,0.00026677563562129677,0.0005068737076804638,6.669390890532419e-05,2.3342868116863468e-05
8,Jadon Sancho,250000,13883216,Manchester United,eng ENG,"FW,MF",21.0,29.0,20.0,1900.0,21.1,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.14,0.14,0.28,0.14,0.28,3.3,3.3,4.2,7.5,0.16,0.2,0.36,0.16,0.36,38.0,16.0,10.0,12.0,57.0,57.0,0.0,58.0,36.0,0.00021608826081795458,0.00023769708689975002,0.00021608826081795458,2.0168237676342428e-05
9,Anthony Martial,250000,13883216,Manchester United,fr FRA,FW,25.0,8.0,2.0,212.0,2.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.42,0.42,0.4,0.4,0.1,0.6,0.19,0.06,0.25,0.19,0.25,38.0,16.0,10.0,12.0,57.0,57.0,0.0,58.0,5.0,7.202942027265152e-05,2.881176810906061e-05,0.0,3.0252356514513638e-05
